country_code,country_name
ALB,Albania
LBN,Lebanon
AND,Andorra
LBY,Libya
ARG,Argentina
LTU,Lithuania
ARM,Armenia
MAC,Macao
AUS,Australia
MYS,Malaysia
AUT,Austria
MDV,Maldives
AZE,Azerbaijan
MEX,Mexico
BGD,Bangladesh
MOR,Morocco
BLR,Belarus
MNG,Mongolia
BOL,Bolivia
MNE,Montenegro
BIH,Bosnia Herzegovina
MMR,Myanmar
BRA,Brazil
NLD,Netherlands
BGR,Bulgaria
NZL,New Zealand
CAN,Canada
NIC,Nicaragua
CHL,Chile
NGA,Nigeria
CHN,China
MKD,North Macedonia
COL,Colombia
NIR,Northern Ireland
HRV,Croatia
NOR,Norway
CYP,Cyprus
PAK,Pakistan
CZE,Czechia
PER,Peru
DNK,Denmark
PHL,Philippines
ECU,Ecuador
POL,Poland
EGY,Egypt
PRT,Portugal
EST,Estonia
PRI,Puerto Rico
ETH,Ethiopia
ROU,Romania
FIN,Finland
RUS,Russian Federation
FRA,France
SRB,Serbia
GEO,Georgia
SGP,Singapore
DEU,Germany
SVK,Slovakia
GBR,Great Britain
SVN,Slovenia
GRC,Greece
KOR,South Korea
GTM,Guatemala
ESP,Spain
HKG,Hong Kong SAR PRC
SWE,Sweden
HUN,Hungary
CHE,Switzerland
ISL,Iceland
TWN,Taiwan ROC
IND,India
TJK,Tajikistan
IDN,Indonesia
THA,Thailand
IRN,Iran
TUN,Tunisia
IRQ,Iraq
TUR,Turkey
ITA,Italy
UKR,Ukraine
JPN,Japan
USA,United States
JOR,Jordan
URY,Uruguay
KAZ,Kazakhstan
UZB,Uzbekistan
KEN,Kenya
VNM,Vietnam
KGZ,Kyrgyzstan
ZWE,Zimbabwe
LVA,Latvia
VEN,Venezuela
